Nr. crt.,Adresa,Nr,Sector,Anul construirii,Regimul de inaltime,Numar de apartamente,Aria desfasurata,Anul Elaborarii Expertizei Tehnice,Expertul tehnic atestat pentru cerinţa esenţiala de calitate-rezistenţă mecanică şi stabilitate de către M.D.R.A.P.,Observatii,Clasa de risc seismic
1410,Strada EPISCOPUL RADU,15,Sector 2,1895,S+P+1E,0,744,1993,Dan DUMITRU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1411,Strada EPISCOPUL RADU,40,Sector 2,1935,S+P+3E,0,473,1994,Mircea NEICU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1412,Strada EUFROSIN POTECA,16,Sector 2,1936,S+P+1E+Ma,0,420,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1413,Strada EUFROSIN POTECA,22,Sector 2,1939,S+P+1E,0,294,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1414,Strada EUFROSIN POTECA,36,Sector 2,1936,S+P+1E+Ma,0,458,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1415,Strada EUGENIU CARADA,5÷7,Sector 3,1958,S+P+5E,0,2.76,1994,Mihai URSACHESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1416,Strada EUGENIU CARADA,7,Sector 3,1909,S+P+1E,0,1.046,1993,Mircea NEICU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1417,Strada FĂINARI,10 (corp A+B),Sector 2,1934,S+P+1E+Ma; S+P,0,479,1993,Adina SIMION,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1418,Strada FĂINARI,45 (corp A+B),Sector 2,1927,S+P+1E+Ma; S+P+1E+Ma,0,0,1993,Adina SIMION,U2. U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1419,Strada FÂNTÂNICA,16,Sector 2,1930,S+P+1E,0,0,1993,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1420,Strada FELICIA RACOVIŢĂ,7,Sector 5,1935,S+P+3E+Ma,0,866,1995,Grigore PANICOV,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1421,Bulevardul FERDINAND I,8,Sector 2,1880,S+P+2E,0,0,1993,Niculaie TUDOSE,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1422,Bulevardul FERDINAND I,17,Sector 2,1934,S+P+3E,0,643,1996,Nicolae TOPA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1423,Bulevardul FERDINAND I,29,Sector 2,1934,S+P+2E+Ma,0,552,1993,Ion VARSA,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1424,Bulevardul FERDINAND I,30,Sector 2,1933,S+P+3E+Ma,0,0,1993,Traian POPP,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1425,Bulevardul FERDINAND I,41,Sector 2,1939,S+P+7E+Ma,0,1.21,1993,Radu PETROVICI,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1426,Bulevardul FERDINAND I,44,Sector 2,1947,S+P+8E,0,855,1993,Radu PETROVICI,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1427,Bulevardul FERDINAND I,47bis,Sector 2,1900,S+P+2E,0,906,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1428,Bulevardul FERDINAND I,49,Sector 2,1902,S+P+2E,0,1.179,1993,Traian POPP,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1429,Bulevardul FERDINAND I,51 (corp B+C),Sector 2,1931 1928,S+P+1E S+P+1E,4,256 368,1993,Niculaie TUDOSE,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1430,Bulevardul FERDINAND I,59,Sector 2,1935,S+P+2E,0,535,1993,Viorel CONSTANTINESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1431,Bulevardul FERDINAND I,60,Sector 2,1925,S+P+2E,0,692,1993,Ion VARSA,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1432,Bulevardul FERDINAND I,76,Sector 2,1920; 1932,S+P+2E; S+P+2E,0,726,1993,Traian POPP,U3. U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1433,Bulevardul FERDINAND I,141,Sector 2,1960,S+P+4E,0,0,1993,Radu PETROVICI,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1434,Calea FERENTARI,72 (bloc 20),Sector 5,1949,S+P+3E,0,2.7,1993,Gabriel NICULESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1435,Calea FERENTARI,72 (bloc A1),Sector 5,1948,S+P+3E,0,2.7,1993,Gabriel NICULESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1436,Calea FERENTARI,72 (bloc A3),Sector 5,1947; 1952,S+P+3E,0,2.54,1993,Helmuth KOBER,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1437,Calea FERENTARI,72 (bloc A5),Sector 5,1950,S+P+3E,0,2.7,1993,Laur AGAPI,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1438,Calea FERENTARI,72 (bloc A6),Sector 5,1949,S+P+3E,0,2.54,1993,Cristian BALAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1439,Calea FERENTARI,72 (bloc A10),Sector 5,1951,S+P+3E,0,2.7,1993,Nicolae GHITA,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1440,Calea FERENTARI,72 (bloc B2),Sector 5,1949,S+P+3E,0,2.7,1993,Cristian BALAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1441,Calea FERENTARI,72 (bloc B3),Sector 5,1949,S+P+3E,0,2.7,1993,Cristian BALAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1442,Calea FERENTARI,72 (bloc B4),Sector 5,1947,S+P+3E,0,2.7,1993,Helmuth KÖBER,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1443,Calea FERENTARI,72 (bloc C2),Sector 5,1949,S+P+3E,0,2.7,1993,Cristian BALAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1444,Calea FERENTARI,72 (bloc C4),Sector 5,1947,S+P+3E,0,2.7,1993,Helmuth KÖBER,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1445,Calea FERENTARI,72 (bloc C6),Sector 5,1947,S+P+3E,0,2.7,1993,Helmuth KÖBER,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1446,Strada FEROVIARILOR,1÷5,Sector 1,1918,S+P+2E,0,1.302,1993,Marius HOTINCEANU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1447,Strada FEROVIARILOR,6÷8,Sector 1,1946,S+P+1E+Ma,0,633,1993,Gheorghe DRUGEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1448,Strada FEROVIARILOR,11÷13,Sector 1,1946,S+P+2E+Ma,0,642,1993,Gheorghe DRUGEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1449,Strada FEROVIARILOR,22÷24,Sector 1,1946,S+P+1E+Ma,0,676,1993,Gheorghe DRUGEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1450,Strada FEROVIARILOR,26÷28,Sector 1,1946,S+P+1E+Ma,0,664,1993,Gheorghe DRUGEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1451,Strada FEROVIARILOR,35B,Sector 1,1960,S+P+1E,0,215,1993,Gheorghe AFANASENCO,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1452,Strada FEROVIARILOR,37,Sector 1,1920,S+P+1E,0,163,1993,Gheorghe AFANASENCO,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1453,Strada FEROVIARILOR,47÷49,Sector 1,1929,S+P+2E,0,1.2,1993,Gheorghe DRUGEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1454,Strada FEROVIARILOR,51,Sector 1,1936,S+P+3E,0,1.116,1995,Maria DARIE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1455,Strada FEROVIARILOR,62÷64,Sector 1,1930,S+P+1E,0,546,1993,Mircea CONDRUT,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1456,Strada FEROVIARILOR,78÷84A,Sector 1,1920,S+P+1E,0,562,1993,Gheorghe DRUGEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1457,Strada FLOARE ROŞIE,7 (bloc 51),Sector 6,1965,S+P+9E,0,0,1993,Anatolie CAZACLIU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1458,Strada FLOREA LAZĂR,3 (bloc 8B),Sector 2,1975,S+P+10E,0,6.669,1993,Dan MIHAILESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1459,Calea FLOREASCA,11,Sector 1,1924,S+P+2E,0,5.577,1993,Radu DIAMANDOPOL,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1460,Calea FLOREASCA,19,Sector 1,1926,S+P+2E+Ma,0,843,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1461,Strada FOIŞORUL DE FOC,1,Sector 2,1926,S+P+5E,0,6.255,1993,Ion VARSA,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1462,Strada FRANCEZĂ,7 (corp A+B),Sector 3,1879,S+P+1E,0,0,1993,Emil COROIU,U3 (ruină),"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1463,Strada FRANCEZĂ,12,Sector 3,1870,S+P+2E,0,273,1993,Mircea MIRONESCU,U1. U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1464,Strada FRANCEZĂ,13,Sector 3,1895,S+P+2E+Pod,0,1.371,1993,Armand NEFIAN,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1465,Strada FRANCEZĂ,16,Sector 3,1850,S+P+1E,0,322,1993,Maria CRACIUN,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1466,Strada FRANCEZĂ,17,Sector 3,1890,S+P+2E+Ma,0,624,1993,Dan MIHAILESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1467,Strada FRANCEZĂ,18 (corp A+B),Sector 3,1883,S+P+2E; S+P+Mz+2E,0,0,1993,Valter BOGDAN,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1468,Strada FRANCEZĂ,19,Sector 3,1880,S+P+1E,0,762,1993,Voicu DORDEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1469,Strada FRANCEZĂ,34,Sector 3,1840,S+P+1E+Ma,0,317,1993,Mircea MIRONESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1470,Strada FRANCEZĂ,46,Sector 3,1925,S+P+2E+Ma,0,591,1993,Radu PETROVICI,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1471,Strada FRANCEZĂ,56,Sector 3,1870,S+P+1E,0,768,1993,Valter BOGDAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1472,Strada FRANCEZĂ,58,Sector 3,1890,S+P+3E,0,2.21,1993,Mircea MIRONESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1473,Strada FRANCEZĂ,64,Sector 3,1870,S+P+3E,0,0,1993,Mircea PERJESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1474,Strada FRANCEZĂ,66,Sector 3,1870,S+P+4E+Ma,0,0,1993,Niculaie TUDOSE,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1475,Strada FRUMOASĂ,12,Sector 1,1900,S+P+1E,0,280,1993,Silvia CARAMAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1476,Strada FRUMOASĂ,20,Sector 1,1890,S+P+1E,0,660,1993,Valter BOGDAN,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1477,Strada FRUMOASĂ,29,Sector 1,1940,S+P+1E+Ma,0,645,1993,Radu AGENT,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1478,Strada FRUMOASĂ,33,Sector 1,1912,S+P+1E+Ma,0,507,1993,Valter BOGDAN,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1479,Strada FRUMOASĂ,35 (corp A),Sector 1,1933,S+P,0,222,1993,Valter BOGDAN,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1480,Strada FRUMOASĂ,47,Sector 1,1910,S+P+1E+Ma,0,287,1993,Valter BOGDAN,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1481,Soseaua FUNDENI,2 (bloc 11B),Sector 2,1975,S+P+14E,0,6.487,1995,Mircea NEICU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1482,Strada GABROVENI,10 (corp A+B),Sector 3,1898; 1936,S+P+3E+Ma; S+P+2E,0,"881, 180",1993,Radu PETROVICI,U1. U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1483,Strada GABROVENI,20,Sector 3,1850,S+P+1E+Ma,0,476,1993,Ion VARSA,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1484,Strada GABROVENI,57,Sector 3,1890,S+P+2E,0,1.011,1993,Dan POPESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1485,Strada GABROVENI,61 (corp A1+A2+B),Sector 3,1959,S+P+7E; S+P+7E; S+P+4E,0,7.088,1994,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1486,Strada GALA GALACTION,24,Sector 1,1924,S+P+1E,0,160,1993,Serban AENLIU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1487,Strada GALA GALACTION,54,Sector 1,1942,S+P+Ma,0,116,1993,Serban AENLIU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1488,Strada GARIBALDI,26A,Sector 2,1960,S+P+2E,0,1.264,1997,Corneliu NICUT,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1489,Drumul GĂZARULUI,25,Sector 4,1900,S+P,0,34,1993,Alexandru BRANZEI,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1490,Strada GAZELEI,30 (corp A+B),Sector 4,1931; 1910,S+P+1E; S+P,0,"333, 109",1993,Eugeniu IORDACHESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1491,Strada GAZELEI,32 (corp A+B+C+D),Sector 4,1910,S+P+1E; S+P+1E+Ma,0,129,1993,Eugeniu IORDACHESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1492,Strada GAZELEI,35 (corp A+B+C),Sector 4,1900,S+P+1E;S+P+1E; S+P,0,0,1993,Alexandru BRANZEI,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1493,Strada GAZELEI,47,Sector 4,1930,S+P+1E,0,504,1993,Eugeniu IORDACHESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1494,Strada GEORGE MURGOCI,9 (corp A+B),Sector 4,1915,S+P; S+P+1E,0,152 101,1993,Valentin SEVCENCO,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1495,Strada GEORGES BIZET,9,Sector 2,1950,S+P+2E,0,1.044,1995,Marin TEODOR,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1496,Strada GHEORGHE BRĂTIANU,26,Sector 1,1926,S+P+2E,0,0,1993,Mircea NEICU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1497,Strada GHEORGHE CANTACUZINO,3,Sector 2,1934,S+P+3E+Ma,0,0,1993,Leonid NEAGOE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1498,Bulevardul GHEORGHE I. DUCA,2 (corp A+B),Sector 1,1936; 1937,S+P+7E; S+P+5E,0,1.512,1993,Mariana SUCEVEANU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1499,Strada GHEORGHE LAZAR,9A÷9B,Sector 1,1926; 1926,S+P+2E+Ma; S+P+1E+Ma,0,"220, 270",1994,Radu AGENT,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1500,Bulevardul GHEORGHE MAGHERU,9,Sector 1,1961,S+P+9E,162,17.792,1996,Nicolae ALEMAN,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1501,Strada GHEORGHE MANEA,13,Sector 3,1935,S+P+1E+Ma,0,420,1993,Alexandru PROGRESEANU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1502,Strada GHEORGHE MANU,6,Sector 1,1935,S+P+3E+Ma,0,776,1994,Mircea NEICU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1503,Strada GHEORGHE MANU,12,Sector 1,1945,S+Ds+P+4E,0,1.425,1994,Leonid NEAGOE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1504,Intrarea GHEORGHE MANU,1,Sector 1,1935,S+Ds+P+3E,0,0,1994,Eugeniu IORDACHESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1505,Bulevardul GHEORGHE MARINESCU,15,Sector 5,1932,S+P+2E+Ma,0,1.067,1993,Andrei NEAGU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1506,Strada GHEORGHE NEGEL,39÷43 (bloc G15),Sector 6,1951,S+P,0,290,1993,Gheorghe DRUGEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1507,Strada GHEORGHE POP DE BASEŞTI,1,Sector 2,1939,S+P+2E,0,426,1993,Ion LUNGU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1508,Strada GHEORGHE POP DE BASEŞTI,6,Sector 2,1928,S+P+2E,0,696,1993,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1509,Strada GHEORGHE POP DE BASEŞTI,13,Sector 2,1930,S+P+2E,0,440,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1510,Strada GHEORGHE POP DE BASEŞTI,21,Sector 2,1932,S+P+2E+Ma,0,334,1993,Niculaie TUDOSE,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1511,Strada GHEORGHE POP DE BASEŞTI,32,Sector 2,1935,S+P+2E,0,468,1993,Cristian BALAN,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1512,Strada GHEORGHE POP DE BASEŞTI,56,Sector 2,1935,S+P+2E,0,725,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1513,Strada GHEORGHE PREOŢESCU,13,Sector 4,1910,S+P+1E,0,228,1993,Traian POPP,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1514,Strada GHEORGHE PREOŢESCU,18 (corp A+B),Sector 4,1948,S+P; S+P+2E,0,279,1993,Traian POPP,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1515,Strada GHEORGHE PREOŢESCU,24,Sector 4,1925,S+P+2E+Ma,0,320,1993,Traian POPP,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1516,Strada GHEORGHE PREOŢESCU,25 (corp A+B),Sector 4,1936,S+P,0,56,1993,Traian POPP,U2. U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1517,Strada GHEORGHE PREOŢESCU,26,Sector 4,1916,S+P+1E+Ma,0,334,1993,Traian POPP,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1518,Strada GHEORGHE PREOŢESCU,29,Sector 4,1938,S+P+1E+Ma,0,510,1993,Traian POPP,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1519,Strada GIACOMO PUCCINI,1,Sector 2,1939,S+P+3E,8,970,1995,Constantin PAVEL,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1520,Strada GINA PATRICHI (fostă Strada ORLANDO),1,Sector 1,1939,S+P+5E+Ma,6,1.05,1994,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
